不_d ,_w 12243_m 
尚_d ,_w 853_m 
鸟_n ,_w 838_m 
住_v ,_w 834_m 
经_g ,_w 826_m 
今_g ,_w 817_m 
枝_g ,_w 811_m 
处_n ,_w 807_m 
带_v ,_w 802_m 
都_d ,_w 795_m 
声_q ,_w 793_m 
笑_v ,_w 785_m 
含_v ,_w 781_m 
忆_g ,_w 780_m 
绕_v ,_w 772_m 
终_g ,_w 772_m 
古_a ,_w 764_m 
百_m ,_w 752_m 
烟_n ,_w 751_m 
双_m ,_w 751_m 
西_f ,_w 748_m 
常_d ,_w 748_m 
恨_v ,_w 742_m 
以_p ,_w 739_m 
发_v ,_w 737_m 
四_m ,_w 734_m 
日_g ,_w 732_m 
把_q ,_w 732_m 
穷_a ,_w 732_m 
于_p ,_w 729_m 
东_f ,_w 722_m 
白云_n ,_w 722_m 
及_c ,_w 716_m 
人间_n ,_w 705_m 
待_v ,_w 704_m 
白_a ,_w 695_m 
闲_a ,_w 692_m 
那_r ,_w 688_m 
每_r ,_w 683_m 
垂_v ,_w 680_m 
竟_d ,_w 676_m 
被_p ,_w 674_m 
思_v ,_w 672_m 
最_d ,_w 669_m 
敢_v ,_w 664_m 
久_a ,_w 663_m 
由_p ,_w 660_m 
月_n ,_w 655_m 
泪_n ,_w 653_m 
鹤_n ,_w 652_m 
他_r ,_w 647_m 
迎_v ,_w 637_m 
真_a ,_w 636_m 
病_n ,_w 636_m 
会_n ,_w 636_m 
越_d ,_w 635_m 
偏_a ,_w 634_m 
九_m ,_w 634_m 
争_v ,_w 634_m 
故人_n ,_w 632_m 
大_a ,_w 630_m 
吾_r ,_w 628_m 
渐_d ,_w 626_m 
登_v ,_w 625_m 
红_a ,_w 621_m 
断_v ,_w 619_m 
想_v ,_w 619_m 
明月_n ,_w 616_m 
其_r ,_w 616_m 
情_n ,_w 610_m 
死_a ,_w 606_m 
移_v ,_w 605_m 
如何_r ,_w 603_m 
寒_g ,_w 598_m 
用_v ,_w 594_m 
斜_a ,_w 594_m 
惆怅_a ,_w 593_m 
既_c ,_w 592_m 
转_v ,_w 587_m 
官_n ,_w 587_m 
兼_v ,_w 586_m 
载_q ,_w 577_m 
草_n ,_w 573_m 
门_n ,_w 571_m 
歌_n ,_w 570_m 
暂_n ,_w 566_m 
数_n ,_w 565_m 
馀_n ,_w 564_m 
江_n ,_w 563_m 
令_n ,_w 562_m 
遍_q ,_w 556_m 
太_d ,_w 556_m 
始_g ,_w 554_m 
生_v ,_w 548_m 
拂_v ,_w 542_m 
并_c ,_w 542_m 
暖_a ,_w 542_m 
啼_v ,_w 542_m 
时_g ,_w 540_m 
秋风_n ,_w 537_m 
低_a ,_w 535_m 
迟_a ,_w 531_m 
言_g ,_w 530_m 
名_q ,_w 526_m 
胜_v ,_w 523_m 
不见_v ,_w 523_m 
各_r ,_w 520_m 
忘_v ,_w 520_m 
稀_a ,_w 515_m 
船_n ,_w 514_m 
马_n ,_w 513_m 
再_d ,_w 511_m 
忽_n ,_w 511_m 
青山_n ,_w 511_m 
城_n ,_w 506_m 
干_v ,_w 506_m 
回首_v ,_w 501_m 
任_q ,_w 501_m 
照_v ,_w 500_m 
杯_q ,_w 500_m 
易_a ,_w 496_m 
就_d ,_w 495_m 
傍_v ,_w 494_m 
何人_r ,_w 494_m 
忧_v ,_w 491_m 
寂寞_a ,_w 491_m 
吟_v ,_w 491_m 
何事_r ,_w 486_m 
北_f ,_w 484_m 
衣_g ,_w 483_m 
游_v ,_w 482_m 
遂_d ,_w 482_m 
要_v ,_w 479_m 
也_u ,_w 474_m 
求_v ,_w 472_m 
临_v ,_w 470_m 
暗_a ,_w 465_m 
居_v ,_w 463_m 
客_g ,_w 459_m 
光_a ,_w 459_m 
全_a ,_w 456_m 
晴_v ,_w 456_m 
乘_v ,_w 455_m 
持_v ,_w 454_m 
苦_a ,_w 454_m 
白日_n ,_w 452_m 
画_n ,_w 452_m 
悠悠_a ,_w 451_m 
变_v ,_w 449_m 
今朝_t ,_w 445_m 
种_q ,_w 445_m 
十_m ,_w 444_m 
复_g ,_w 442_m 
比_v ,_w 441_m 
没_d ,_w 439_m 
行人_n ,_w 436_m 
从此_d ,_w 436_m 
内_f ,_w 432_m 
鱼_n ,_w 432_m 
称_v ,_w 432_m 
年年_q ,_w 431_m 
催_v ,_w 430_m 
驻_v ,_w 430_m 
相逢_v ,_w 428_m 
觉_g ,_w 427_m 
唯_d ,_w 425_m 
本_q ,_w 422_m 
卷_q ,_w 420_m 
定_v ,_w 418_m 
收_v ,_w 416_m 
二_m ,_w 416_m 
平_a ,_w 415_m 
少年_n ,_w 415_m 
散_a ,_w 412_m 
添_v ,_w 408_m 
宿_g ,_w 408_m 
长安_ns ,_w 406_m 
当时_t ,_w 405_m 
落日_n ,_w 404_m 
魂_n ,_w 404_m 
惊_v ,_w 403_m 
学_v ,_w 403_m 
传_v ,_w 402_m 
悬_v ,_w 402_m 
残_a ,_w 400_m 
湿_a ,_w 399_m 
骑_v ,_w 397_m 
曲_g ,_w 396_m 
何时_r ,_w 395_m 
钱_n ,_w 394_m 
尺_g ,_w 392_m 
访_v ,_w 392_m 
凭_e ,_w 392_m 
将军_n ,_w 390_m 
相思_v ,_w 387_m 
接_v ,_w 387_m 
穿_v ,_w 386_m 
折_q ,_w 386_m 
念_v ,_w 384_m 
乃_v ,_w 384_m 
归来_v ,_w 383_m 
乡_n ,_w 381_m 
买_v ,_w 381_m 
直_a ,_w 381_m 
鸣_g ,_w 378_m 
虚_a ,_w 375_m 
沾_v ,_w 374_m 
六_m ,_w 373_m 
烧_v ,_w 372_m 
唯有_v ,_w 369_m 
尊_g ,_w 367_m 
平生_n ,_w 367_m 
东风_n ,_w 366_m 
贵_a ,_w 366_m 
十年_t ,_w 366_m 
拟_v ,_w 363_m 
鸡_n ,_w 362_m 
此时_t ,_w 361_m 
流_v ,_w 360_m 
遇_v ,_w 360_m 
如此_r ,_w 359_m 
或_c ,_w 357_m 
此地_s ,_w 356_m 
天地_n ,_w 356_m 
罢_v ,_w 353_m 
肯_v ,_w 352_m 
依_v ,_w 352_m 
伤_v ,_w 351_m 
主人_n ,_w 348_m 
俱_g ,_w 345_m 
安_g ,_w 345_m 
天子_n ,_w 345_m 
识_v ,_w 344_m 
片_q ,_w 343_m 
倾_v ,_w 343_m 
车_n ,_w 343_m 
卧_v ,_w 342_m 
烟霞_n ,_w 341_m 
夕阳_n ,_w 340_m 
不得_v ,_w 339_m 
极_d ,_w 339_m 
江南_ns ,_w 338_m 
报_n ,_w 338_m 
逐_g ,_w 336_m 
首_m ,_w 334_m 
嫌_v ,_w 333_m 
走_v ,_w 332_m 
霜_n ,_w 331_m 
属_v ,_w 331_m 
条_q ,_w 331_m 
方_a ,_w 329_m 
如今_t ,_w 329_m 
不可_v ,_w 329_m 
翻_v ,_w 329_m 
写_v ,_w 327_m 
贫_g ,_w 327_m 
天下_n ,_w 327_m 
终日_m ,_w 326_m 
猿_g ,_w 326_m 
琴_n ,_w 326_m 
细_a ,_w 325_m 
足_a ,_w 325_m 
挂_v ,_w 325_m 
门前_s ,_w 324_m 
清风_n ,_w 323_m 
舟_n ,_w 322_m 
赏_v ,_w 322_m 
藏_j ,_w 321_m 
通_a ,_w 320_m 
飘_v ,_w 319_m 
了_u ,_w 319_m 
冷_a ,_w 319_m 
龙_n ,_w 316_m 
悲_g ,_w 315_m 
破_a ,_w 315_m 
药_n ,_w 315_m 
唱_v ,_w 314_m 
阴_a ,_w 314_m 
溪_g ,_w 312_m 
抱_v ,_w 311_m 
字_n ,_w 311_m 
芳草_n ,_w 310_m 
风雨_n ,_w 309_m 
兴_v ,_w 309_m 
何必_d ,_w 309_m 
叹_v ,_w 309_m 
喜_v ,_w 308_m 
美_a ,_w 307_m 
诸_r ,_w 307_m 
先生_n ,_w 306_m 
乐_a ,_w 306_m 
浓_a ,_w 305_m 
饮_v ,_w 305_m 
贤_g ,_w 305_m 
立_v ,_w 304_m 
栽_v ,_w 302_m 
女_a ,_w 301_m 
齐_a ,_w 300_m 
几时_t ,_w 300_m 
往_v ,_w 299_m 
天涯_n ,_w 299_m 
柳_g ,_w 298_m 
三年_t ,_w 297_m 
春色_n ,_w 295_m 
取_v ,_w 295_m 
黄金_n ,_w 295_m 
徒_e ,_w 294_m 
亲_a ,_w 292_m 
疏_g ,_w 291_m 
萧条_a ,_w 290_m 
频_g ,_w 289_m 
天上_s ,_w 289_m 
弄_v ,_w 289_m 
殷勤_np ,_w 288_m 
竹_g ,_w 288_m 
山川_n ,_w 287_m 
不如_v ,_w 286_m 
故乡_n ,_w 285_m 
谁知_v ,_w 284_m 
白发_n ,_w 283_m 
赠_v ,_w 283_m 
头_n ,_w 282_m 
相见_v ,_w 281_m 
手_n ,_w 280_m 
哉_u ,_w 279_m 
抛_v ,_w 278_m 
受_v ,_w 278_m 
泥_n ,_w 278_m 
歇_v ,_w 276_m 
携_v ,_w 276_m 
泉_g ,_w 275_m 
尝_v ,_w 273_m 
勿_d ,_w 273_m 
露_v ,_w 272_m 
乍_n ,_w 272_m 
雾_n ,_w 271_m 
苍苍_a ,_w 270_m 
系_n ,_w 270_m 
墙_n ,_w 269_m 
浪_n ,_w 268_m 
川_j ,_w 266_m 
石_g ,_w 266_m 
薄_a ,_w 266_m 
台_q ,_w 264_m 
明_e ,_w 262_m 
借_v ,_w 262_m 
汉_j ,_w 262_m 
君子_n ,_w 261_m 
雁_n ,_w 260_m 
急_a ,_w 260_m 
村_n ,_w 259_m 
床_n ,_w 259_m 
恐_n ,_w 259_m 
句_q ,_w 258_m 
日月_n ,_w 258_m 
响_v ,_w 258_m 
林_g ,_w 257_m 
星_n ,_w 256_m 
分明_a ,_w 256_m 
惟_n ,_w 256_m 
七_m ,_w 255_m 
聊_v ,_w 255_m 
寂寥_a ,_w 255_m 
静_a ,_w 254_m 
封_q ,_w 254_m 
语_g ,_w 254_m 
春草_n ,_w 254_m 
有时_d ,_w 253_m 
金_a ,_w 253_m 
遥_e ,_w 252_m 
文章_n ,_w 252_m 
占_v ,_w 251_m 
萧萧_a ,_w 251_m 
千年_t ,_w 249_m 
灯_n ,_w 247_m 
色_n ,_w 247_m 
换_v ,_w 247_m 
不同_a ,_w 246_m 
交_v ,_w 246_m 
京_j ,_w 245_m 
尽日_d ,_w 245_m 
纷纷_a ,_w 245_m 
参差_v ,_w 244_m 
舞_v ,_w 244_m 
扫_v ,_w 244_m 
莺_g ,_w 243_m 
教_v ,_w 242_m 
睡_v ,_w 242_m 
湘_j ,_w 241_m 
强_a ,_w 239_m 
洞_n ,_w 239_m 
请_v ,_w 239_m 
合_v ,_w 238_m 
八_m ,_w 238_m 
眠_e ,_w 237_m 
故园_n ,_w 237_m 
稍_d ,_w 236_m 
白头_n ,_w 236_m 
剑_n ,_w 236_m 
虎_n ,_w 235_m 
冰_n ,_w 234_m 
甚_g ,_w 234_m 
功_n ,_w 233_m 
阙_e ,_w 233_m 
存_v ,_w 232_m 
洒_v ,_w 232_m 
孤_g ,_w 231_m 
杨柳_n ,_w 230_m 
熟_a ,_w 230_m 
休_v ,_w 230_m 
池_g ,_w 229_m 
出门_v ,_w 227_m 
昨夜_t ,_w 227_m 
明朝_t ,_w 227_m 
度_q ,_w 226_m 
哭_v ,_w 226_m 
引_v ,_w 226_m 
昨日_t ,_w 226_m 
倚_v ,_w 225_m 
人生_n ,_w 224_m 
信_n ,_w 223_m 
黄_a ,_w 223_m 
背_v ,_w 223_m 
无限_a ,_w 223_m 
陪_v ,_w 222_m 
处处_q ,_w 222_m 
降_v ,_w 221_m 
叶_o ,_w 221_m 
东西_n ,_w 220_m 
辞_v ,_w 219_m 
献_v ,_w 219_m 
草木_n ,_w 218_m 
海_n ,_w 216_m 
年_q ,_w 215_m 
户_q ,_w 214_m 
昔_g ,_w 213_m 
浮云_n ,_w 212_m 
高楼_n ,_w 212_m 
至_p 今_g ,_w 212_m 
湖_n ,_w 212_m 
闭_v ,_w 211_m 
新诗_n ,_w 210_m 
艳_a ,_w 209_m 
眼_q ,_w 209_m 
腰_n ,_w 208_m 
省_n ,_w 208_m 
弦_n ,_w 208_m 
论_v ,_w 208_m 
茫茫_a ,_w 207_m 
失_v ,_w 207_m 
青云_n ,_w 206_m 
而_c ,_w 206_m 
时节_n ,_w 206_m 
篇_q ,_w 206_m 
锁_n ,_w 205_m 
风流_a ,_w 205_m 
何如_r ,_w 205_m 
宜_g ,_w 204_m 
畔_g ,_w 204_m 
蝉_n ,_w 203_m 
堪_n ,_w 202_m 
岁月_n ,_w 202_m 
焉_u ,_w 202_m 
原_a ,_w 202_m 
井_n ,_w 202_m 
离别_v ,_w 201_m 
牵_v ,_w 201_m 
守_v ,_w 201_m 
四海_n ,_w 200_m 
改_v ,_w 200_m 
百年_m ,_w 199_m 
惜_g ,_w 199_m 
何以_d ,_w 198_m 
依依_a ,_w 198_m 
浅_a ,_w 198_m 
赊_v ,_w 197_m 
西风_n ,_w 197_m 
放_v ,_w 197_m 
颜色_n ,_w 197_m 
田_n ,_w 196_m 
必_d ,_w 195_m 
况_g ,_w 194_m 
读_v ,_w 193_m 
江山_np ,_w 193_m 
颇_d ,_w 193_m 
县_n ,_w 193_m 
日日_q ,_w 191_m 
邻_g ,_w 190_m 
风光_n ,_w 189_m 
窗_g ,_w 189_m 
劝_v ,_w 188_m 
衰_g ,_w 188_m 
明日_t ,_w 188_m 
除_f ,_w 187_m 
海上_s ,_w 187_m 
乾坤_n ,_w 187_m 
寂寂_a ,_w 187_m 
借问_v ,_w 186_m 
赴_v ,_w 186_m 
谁家_r ,_w 186_m 
微_g ,_w 186_m 
何日_r ,_w 186_m 
步_n ,_w 186_m 
偶_e ,_w 186_m 
芙蓉_n ,_w 185_m 
繁_g ,_w 185_m 
养_v ,_w 185_m 
君王_n ,_w 184_m 
故_g ,_w 184_m 
弃_g ,_w 184_m 
携手_v ,_w 183_m 
旌旗_n ,_w 183_m 
列_n ,_w 182_m 
修_v ,_w 182_m 
沧洲_ns ,_w 182_m 
趋_v ,_w 181_m 
江湖_n ,_w 181_m 
山水_n ,_w 180_m 
往来_v ,_w 180_m 
神_n ,_w 180_m 
洗_v ,_w 180_m 
可怜_v ,_w 180_m 
期_g ,_w 180_m 
镜_g ,_w 180_m 
草堂_n ,_w 179_m 
邀_v ,_w 179_m 
月_n 明_g ,_w 179_m 
拜_v ,_w 179_m 
灭_v ,_w 179_m 
屡_e ,_w 179_m 
塞_g ,_w 178_m 
黄昏_t ,_w 178_m 
洛阳_ns ,_w 178_m 
招_n ,_w 178_m 
美人_n ,_w 178_m 
多少_r ,_w 178_m 
指_v ,_w 178_m 
尘埃_n ,_w 177_m 
叫_v ,_w 177_m 
宽_a ,_w 177_m 
生涯_n ,_w 177_m 
怪_a ,_w 177_m 
一生_n ,_w 176_m 
早晚_t ,_w 176_m 
销_v ,_w 175_m 
命_n ,_w 175_m 
歌舞_n ,_w 175_m 
映_v ,_w 175_m 
卖_v ,_w 174_m 
著_g ,_w 174_m 
玉_n ,_w 174_m 
眼前_t ,_w 174_m 
伴_v ,_w 174_m 
世间_n ,_w 174_m 
逾_g ,_w 173_m 
南山_ns ,_w 173_m 
消息_n ,_w 172_m 
披_v ,_w 172_m 
栖_g ,_w 172_m 
知己_n ,_w 172_m 
动_v ,_w 172_m 
欢_a ,_w 172_m 
去年_t ,_w 172_m 
结_v ,_w 171_m 
郡_n ,_w 171_m 
今年_t ,_w 171_m 
三千_m ,_w 170_m 
千万_m ,_w 170_m 
姓_n ,_w 170_m 
投_v ,_w 169_m 
道路_n ,_w 169_m 
株_q ,_w 169_m 
根_n ,_w 169_m 
衣裳_n ,_w 168_m 
怜_g ,_w 167_m 
肠_n ,_w 167_m 
几年_t ,_w 167_m 
怅望_v ,_w 167_m 
幽_g ,_w 167_m 
人家_r ,_w 167_m 
怀_v ,_w 167_m 
群_g ,_w 166_m 
二月_t ,_w 166_m 
短_a ,_w 166_m 
矣_u ,_w 166_m 
驾_v ,_w 166_m 
觅_g ,_w 166_m 
掩_v ,_w 165_m 
苔_g ,_w 165_m 
黄河_ns ,_w 165_m 
世人_n ,_w 164_m 
气_n ,_w 164_m 
神仙_n ,_w 164_m 
赋_g ,_w 163_m 
总_a ,_w 163_m 
圆_a ,_w 162_m 
亩_q ,_w 162_m 
负_v ,_w 162_m 
相忆_v ,_w 162_m 
凉风_n ,_w 162_m 
奉_v ,_w 162_m 
扁舟_n ,_w 162_m 
北风_n ,_w 162_m 
青春_n ,_w 161_m 
漠漠_a ,_w 161_m 
促_g ,_w 160_m 
殊_g ,_w 160_m 
进_v ,_w 160_m 
忙_a ,_w 160_m 
经过_v ,_w 160_m 
才子_n ,_w 160_m 
坠_v ,_w 160_m 
秦_g ,_w 159_m 
古人_n ,_w 159_m 
火_n ,_w 159_m 
碧_g ,_w 159_m 
当年_t ,_w 159_m 
砌_v ,_w 159_m 
迁_v ,_w 158_m 
知音_n ,_w 158_m 
几日_t ,_w 158_m 
流水_n ,_w 158_m 
山色_n ,_w 158_m 
明年_t ,_w 157_m 
谒_g ,_w 157_m 
三月_t ,_w 157_m 
人事_n ,_w 157_m 
屋_n ,_w 157_m 
刀_n ,_w 156_m 
桥_n ,_w 156_m 
公子_n ,_w 156_m 
辟_v ,_w 156_m 
让_v ,_w 156_m 
意_g ,_w 155_m 
征_v ,_w 155_m 
笙歌_n ,_w 155_m 
南国_s ,_w 155_m 
追_v ,_w 154_m 
无情_a ,_w 154_m 
春光_n ,_w 153_m 
缘_n ,_w 153_m 
横_n ,_w 153_m 
未能_v ,_w 153_m 
滴_v ,_w 151_m 
沙_n ,_w 151_m 
图_n ,_w 151_m 
吐_v ,_w 151_m 
草色_n ,_w 151_m 
奏_v ,_w 151_m 
永_e ,_w 151_m 
零落_a ,_w 150_m 
世_g ,_w 150_m 
关_n ,_w 150_m 
半夜_t ,_w 150_m 
呈_v ,_w 150_m 
游人_n ,_w 150_m 
话_n ,_w 150_m 
潇湘_np ,_w 150_m 
时时_d ,_w 149_m 
懒_a ,_w 149_m 
谓_g ,_w 149_m 
十二_m ,_w 149_m 
谢_v ,_w 149_m 
晓_g ,_w 149_m 
岩_g ,_w 148_m 
元_q ,_w 148_m 
狂_a ,_w 148_m 
空山_n ,_w 148_m 
轮_g ,_w 147_m 
试_v ,_w 147_m 
升_v ,_w 147_m 
僧_n ,_w 147_m 
桃花_n ,_w 147_m 
个_q ,_w 147_m 
黑_a ,_w 147_m 
茎_n ,_w 146_m 
洞庭_ns ,_w 146_m 
归_v 去_v ,_w 146_m 
室_n ,_w 145_m 
斗_v ,_w 145_m 
一年_t ,_w 144_m 
深山_n ,_w 144_m 
倍_q ,_w 144_m 
自从_p ,_w 144_m 
累_a ,_w 143_m 
惭_g ,_w 143_m 
代_v ,_w 143_m 
旅_n ,_w 142_m 
荣_g ,_w 142_m 
波_n ,_w 141_m 
佳人_n ,_w 141_m 
幽人_n ,_w 141_m 
淹留_v ,_w 140_m 
物_g ,_w 140_m 
伊_j ,_w 140_m 
游子_n ,_w 140_m 
光辉_n ,_w 140_m 
丝_n ,_w 140_m 
知君_np ,_w 140_m 
帆_n ,_w 140_m 
何年_t ,_w 139_m 
不_d 觉_g ,_w 139_m 
寒食_n ,_w 139_m 
樽_g ,_w 139_m 
州_n ,_w 139_m 
桂_j ,_w 139_m 
咏_v ,_w 138_m 
蝶_g ,_w 138_m 
兄弟_n ,_w 138_m 
风尘_n ,_w 138_m 
孤舟_n ,_w 138_m 
宠_v ,_w 138_m 
徘徊_v ,_w 138_m 
戏_n ,_w 138_m 
风景_n ,_w 138_m 
兵_n ,_w 137_m 
青_a ,_w 137_m 
青青_a ,_w 137_m 
几度_m ,_w 137_m 
自然_n ,_w 137_m 
杀_v ,_w 137_m 
怕_v ,_w 137_m 
深处_s ,_w 137_m 
桃李_n ,_w 137_m 
山河_n ,_w 136_m 
故国_n ,_w 136_m 
河_n ,_w 136_m 
减_v ,_w 136_m 
土_n ,_w 135_m 
国_n ,_w 135_m 
误_v ,_w 135_m 
层_n ,_w 135_m 
风月_n ,_w 135_m 
一时_t ,_w 135_m 
无端_d ,_w 134_m 
江城_ns ,_w 134_m 
东南_f ,_w 134_m 
依旧_a ,_w 134_m 
题_n ,_w 134_m 
自古_d ,_w 134_m 
玩_v ,_w 134_m 
富贵_a ,_w 134_m 
隐_v ,_w 134_m 
攀_v ,_w 134_m 
供_v ,_w 133_m 
依然_a ,_w 133_m 
公_g ,_w 133_m 
涧_g ,_w 133_m 
座_q ,_w 132_m 
笔_n ,_w 132_m 
春日_t ,_w 132_m 
主_n ,_w 131_m 
何在_v ,_w 131_m 
落叶_n ,_w 131_m 
晨_g ,_w 131_m 
偷_v ,_w 131_m 
夕_g ,_w 131_m 
兹_g ,_w 131_m 
盖_v ,_w 131_m 
则_c ,_w 131_m 
白首_n ,_w 131_m 
约_d ,_w 130_m 
荷_g ,_w 130_m 
辛苦_a ,_w 130_m 
巢_n ,_w 129_m 
残阳_ns ,_w 129_m 
一日_t ,_w 129_m 
相对_v ,_w 129_m 
登临_v ,_w 129_m 
浮生_v ,_w 129_m 
伤心_a ,_w 129_m 
姓名_n ,_w 128_m 
男儿_n ,_w 128_m 
独有_v ,_w 128_m 
鳞_n ,_w 128_m 
流年_n ,_w 128_m 
龟_g ,_w 128_m 
虫_n ,_w 128_m 
题诗_n ,_w 128_m 
未必_d ,_w 128_m 
蛇_n ,_w 128_m 
独自_d ,_w 127_m 
相识_v ,_w 127_m 
潮_n ,_w 127_m 
独立_a ,_w 127_m 
公卿_n ,_w 127_m 
管_v ,_w 126_m 
停_v ,_w 126_m 
顶_f ,_w 126_m 
达_v ,_w 126_m 
沈_np ,_w 126_m 
潺湲_v ,_w 126_m 
漏_v ,_w 126_m 
踏_v ,_w 125_m 
摘_v ,_w 125_m 
今夜_t ,_w 125_m 
翠微_a ,_w 125_m 
孤城_n ,_w 125_m 
无心_v ,_w 125_m 
秋天_t ,_w 125_m 
羡_g ,_w 125_m 
许_m ,_w 125_m 
近来_d ,_w 125_m 
凋_g ,_w 125_m 
车马_n ,_w 124_m 
讲_v ,_w 124_m 
江头_n ,_w 124_m 
耳_n ,_w 124_m 
从来_d ,_w 124_m 
瘦_a ,_w 124_m 
师_g ,_w 124_m 
苍生_n ,_w 123_m 
沧海_n ,_w 123_m 
春水_n ,_w 123_m 
晏_g ,_w 123_m 
迹_g ,_w 123_m 
诸侯_n ,_w 123_m 
昏_v ,_w 123_m 
陈_np ,_w 123_m 
德_n ,_w 122_m 
衔_v ,_w 122_m 
闻道_v ,_w 122_m 
丈夫_n ,_w 122_m 
雨露_n ,_w 122_m 
压_v ,_w 122_m 
焚香_v ,_w 122_m 
遭_v ,_w 122_m 
鸳鸯_n ,_w 121_m 
均_d ,_w 121_m 
染_v ,_w 121_m 
肥_n ,_w 121_m 
回头_v ,_w 121_m 
